group_id,source,dataset,orig_id,caption_id,caption_text,spatial_path,frequency_path,qc_pass,qc_score,seed
1,real,Flickr30k,1000919630,flickr-6,A man sits in a chair while holding a large stuffed animal of a lion.,data\covers\spatial\real\g0001__src-real.png,data\covers\frequency\real\g0001__src-real.jpg,true,1.0,42
2,real,COCO,000000222564,coco-000000222564,Two chefs in a restaurant kitchen preparing food.,data\covers\spatial\real\g0002__src-real.png,data\covers\frequency\real\g0002__src-real.jpg,true,1.0,42
3,real,Flickr30k,1001573224,flickr-10,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window.,data\covers\spatial\real\g0003__src-real.png,data\covers\frequency\real\g0003__src-real.jpg,true,1.0,42
4,real,COCO,000000386164,coco-000000386164,A wooden ball on top of a wooden stick.,data\covers\spatial\real\g0004__src-real.png,data\covers\frequency\real\g0004__src-real.jpg,true,1.0,42
5,real,COCO,000000318219,coco-000000318219,A young boy standing in front of a computer keyboard.,data\covers\spatial\real\g0005__src-real.png,data\covers\frequency\real\g0005__src-real.jpg,true,1.0,42
6,real,Flickr30k,1000523639,flickr-5,Two people in the photo are playing the guitar and the other is poking at him.,data\covers\spatial\real\g0006__src-real.png,data\covers\frequency\real\g0006__src-real.jpg,true,1.0,42
7,real,Flickr30k,100207720,flickr-15,A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter.,data\covers\spatial\real\g0007__src-real.png,data\covers\frequency\real\g0007__src-real.jpg,true,1.0,42
8,real,Flickr30k,100577935,flickr-22,A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone's back.,data\covers\spatial\real\g0008__src-real.png,data\covers\frequency\real\g0008__src-real.jpg,true,1.0,42
9,real,COCO,000000515289,coco-000000515289,People riding bicycles down the road approaching a bird.,data\covers\spatial\real\g0009__src-real.png,data\covers\frequency\real\g0009__src-real.jpg,true,1.0,42
10,real,Flickr30k,100716317,flickr-26,A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings.,data\covers\spatial\real\g0010__src-real.png,data\covers\frequency\real\g0010__src-real.jpg,true,1.0,42
11,real,Flickr30k,1001633352,flickr-11,Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs.,data\covers\spatial\real\g0011__src-real.png,data\covers\frequency\real\g0011__src-real.jpg,true,1.0,42
12,real,COCO,000000540186,coco-000000540186,A view of a very large bathroom with mirrored walls.,data\covers\spatial\real\g0012__src-real.png,data\covers\frequency\real\g0012__src-real.jpg,true,1.0,42
13,real,COCO,000000204805,coco-000000204805,A large boat filled with mean on wheels.,data\covers\spatial\real\g0013__src-real.png,data\covers\frequency\real\g0013__src-real.jpg,true,1.0,42
14,real,COCO,000000554625,coco-000000554625,a boy wearing headphones using one computer in a long row of computers,data\covers\spatial\real\g0014__src-real.png,data\covers\frequency\real\g0014__src-real.jpg,true,1.0,42
15,real,COCO,000000113588,coco-000000113588,several young students working at a desk with multiple computers,data\covers\spatial\real\g0015__src-real.png,data\covers\frequency\real\g0015__src-real.jpg,true,1.0,42
16,real,Flickr30k,1007129816,flickr-25,The man with pierced ears is wearing glasses and an orange hat.,data\covers\spatial\real\g0016__src-real.png,data\covers\frequency\real\g0016__src-real.jpg,true,1.0,42
17,real,COCO,000000294832,coco-000000294832,A bathroom with an enclosed shower next to a sink and a toilet.,data\covers\spatial\real\g0017__src-real.png,data\covers\frequency\real\g0017__src-real.jpg,true,1.0,42
18,real,COCO,000000224736,coco-000000224736,A professional kitchen filled with sinks and appliances.,data\covers\spatial\real\g0018__src-real.png,data\covers\frequency\real\g0018__src-real.jpg,true,1.0,42
19,real,COCO,000000079841,coco-000000079841,"Two bikers, one in front of a building, the other in the city.",data\covers\spatial\real\g0019__src-real.png,data\covers\frequency\real\g0019__src-real.jpg,true,1.0,42
20,real,COCO,000000118113,coco-000000118113,this is a very dark picture of a room with a shelf,data\covers\spatial\real\g0020__src-real.png,data\covers\frequency\real\g0020__src-real.jpg,true,1.0,42
