group_id,source,dataset,orig_id,caption_id,caption_text,spatial_path,frequency_path,qc_pass,qc_score,seed
1,real,Flickr30k,1000919630,flickr-6,A man sits in a chair while holding a large stuffed animal of a lion.,data/covers/real/g0001__src-real.png,data/covers/real/g0001__src-real.jpg,true,1.0,42
1,ml_a,SDXL,1000919630,flickr-6,A man sits in a chair while holding a large stuffed animal of a lion.,data/covers/ml_a/g0001__src-ml_a.png,data/covers/ml_a/g0001__src-ml_a.jpg,true,1.0,100043
1,ml_b,FLUX.1-schnell,1000919630,flickr-6,A man sits in a chair while holding a large stuffed animal of a lion.,data/covers/ml_b/g0001__src-ml_b.png,data/covers/ml_b/g0001__src-ml_b.jpg,true,1.0,200043
2,real,COCO,000000222564,coco-000000222564,Two chefs in a restaurant kitchen preparing food.,data/covers/real/g0002__src-real.png,data/covers/real/g0002__src-real.jpg,true,1.0,42
2,ml_a,SDXL,000000222564,coco-000000222564,Two chefs in a restaurant kitchen preparing food.,data/covers/ml_a/g0002__src-ml_a.png,data/covers/ml_a/g0002__src-ml_a.jpg,true,1.0,100044
2,ml_b,FLUX.1-schnell,000000222564,coco-000000222564,Two chefs in a restaurant kitchen preparing food.,data/covers/ml_b/g0002__src-ml_b.png,data/covers/ml_b/g0002__src-ml_b.jpg,true,1.0,200044
3,real,Flickr30k,1001573224,flickr-10,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window.,data/covers/real/g0003__src-real.png,data/covers/real/g0003__src-real.jpg,true,1.0,42
3,ml_a,SDXL,1001573224,flickr-10,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window.,data/covers/ml_a/g0003__src-ml_a.png,data/covers/ml_a/g0003__src-ml_a.jpg,true,1.0,100045
3,ml_b,FLUX.1-schnell,1001573224,flickr-10,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window.,data/covers/ml_b/g0003__src-ml_b.png,data/covers/ml_b/g0003__src-ml_b.jpg,true,1.0,200045
4,real,COCO,000000386164,coco-000000386164,A wooden ball on top of a wooden stick.,data/covers/real/g0004__src-real.png,data/covers/real/g0004__src-real.jpg,true,1.0,42
4,ml_a,SDXL,000000386164,coco-000000386164,A wooden ball on top of a wooden stick.,data/covers/ml_a/g0004__src-ml_a.png,data/covers/ml_a/g0004__src-ml_a.jpg,true,1.0,100046
4,ml_b,FLUX.1-schnell,000000386164,coco-000000386164,A wooden ball on top of a wooden stick.,data/covers/ml_b/g0004__src-ml_b.png,data/covers/ml_b/g0004__src-ml_b.jpg,true,1.0,200046
5,real,COCO,000000318219,coco-000000318219,A young boy standing in front of a computer keyboard.,data/covers/real/g0005__src-real.png,data/covers/real/g0005__src-real.jpg,true,1.0,42
5,ml_a,SDXL,000000318219,coco-000000318219,A young boy standing in front of a computer keyboard.,data/covers/ml_a/g0005__src-ml_a.png,data/covers/ml_a/g0005__src-ml_a.jpg,true,1.0,100047
5,ml_b,FLUX.1-schnell,000000318219,coco-000000318219,A young boy standing in front of a computer keyboard.,data/covers/ml_b/g0005__src-ml_b.png,data/covers/ml_b/g0005__src-ml_b.jpg,true,1.0,200047
6,real,Flickr30k,1000523639,flickr-5,Two people in the photo are playing the guitar and the other is poking at him.,data/covers/real/g0006__src-real.png,data/covers/real/g0006__src-real.jpg,true,1.0,42
6,ml_a,SDXL,1000523639,flickr-5,Two people in the photo are playing the guitar and the other is poking at him.,data/covers/ml_a/g0006__src-ml_a.png,data/covers/ml_a/g0006__src-ml_a.jpg,true,1.0,100048
