group_id,source,dataset,orig_id,caption_id,caption_text,spatial_path,frequency_path,qc_pass,qc_score,seed
1,real,Flickr30k,1001545525,flickr-9,Two men in Germany jumping over a rail at the same time without shirts.,runs/prototype_20260326_192053_p8766/covers/real/g0001__src-real.png,runs/prototype_20260326_192053_p8766/covers/real/g0001__src-real.jpg,true,1.0,613498957
1,ml_a,SDXL,1001545525,flickr-9,Two men in Germany jumping over a rail at the same time without shirts.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0001__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0001__src-ml_a.jpg,true,1.0,613598958
1,ml_b,FLUX.1-schnell,1001545525,flickr-9,Two men in Germany jumping over a rail at the same time without shirts.,runs/prototype_20260326_192053_p8766/covers/ml_b/g0001__src-ml_b.png,runs/prototype_20260326_192053_p8766/covers/ml_b/g0001__src-ml_b.jpg,true,1.0,613698958
2,real,COCO,000000515289,coco-000000515289,People riding bicycles down the road approaching a bird.,runs/prototype_20260326_192053_p8766/covers/real/g0002__src-real.png,runs/prototype_20260326_192053_p8766/covers/real/g0002__src-real.jpg,true,1.0,613498957
2,ml_a,SDXL,000000515289,coco-000000515289,People riding bicycles down the road approaching a bird.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0002__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0002__src-ml_a.jpg,true,1.0,613598959
2,ml_b,FLUX.1-schnell,000000515289,coco-000000515289,People riding bicycles down the road approaching a bird.,runs/prototype_20260326_192053_p8766/covers/ml_b/g0002__src-ml_b.png,runs/prototype_20260326_192053_p8766/covers/ml_b/g0002__src-ml_b.jpg,true,1.0,613698959
3,real,COCO,000000372938,coco-000000372938,A group of people riding on the back of a loaded red pickup truck.,runs/prototype_20260326_192053_p8766/covers/real/g0003__src-real.png,runs/prototype_20260326_192053_p8766/covers/real/g0003__src-real.jpg,true,1.0,613498957
3,ml_a,SDXL,000000372938,coco-000000372938,A group of people riding on the back of a loaded red pickup truck.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0003__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0003__src-ml_a.jpg,true,1.0,613598960
3,ml_b,FLUX.1-schnell,000000372938,coco-000000372938,A group of people riding on the back of a loaded red pickup truck.,runs/prototype_20260326_192053_p8766/covers/ml_b/g0003__src-ml_b.png,runs/prototype_20260326_192053_p8766/covers/ml_b/g0003__src-ml_b.jpg,true,1.0,613698960
4,real,Flickr30k,1007205537,flickr-27,A man stands on one foot while holding on to a waste basket.,runs/prototype_20260326_192053_p8766/covers/real/g0004__src-real.png,runs/prototype_20260326_192053_p8766/covers/real/g0004__src-real.jpg,true,1.0,613498957
4,ml_a,SDXL,1007205537,flickr-27,A man stands on one foot while holding on to a waste basket.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0004__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0004__src-ml_a.jpg,true,1.0,613598961
4,ml_b,FLUX.1-schnell,1007205537,flickr-27,A man stands on one foot while holding on to a waste basket.,runs/prototype_20260326_192053_p8766/covers/ml_b/g0004__src-ml_b.png,runs/prototype_20260326_192053_p8766/covers/ml_b/g0004__src-ml_b.jpg,true,1.0,613698961
5,real,COCO,000000374628,coco-000000374628,A kitchen with wood floors and lots of furniture.,runs/prototype_20260326_192053_p8766/covers/real/g0005__src-real.png,runs/prototype_20260326_192053_p8766/covers/real/g0005__src-real.jpg,true,1.0,613498957
