group_id,source,dataset,orig_id,caption_id,caption_text,spatial_path,frequency_path,qc_pass,qc_score,seed
1,ml_a,SDXL,1001545525,flickr-9,Two men in Germany jumping over a rail at the same time without shirts.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0001__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0001__src-ml_a.jpg,true,1.0,613598958
2,ml_a,SDXL,000000515289,coco-000000515289,People riding bicycles down the road approaching a bird.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0002__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0002__src-ml_a.jpg,true,1.0,613598959
3,ml_a,SDXL,000000372938,coco-000000372938,A group of people riding on the back of a loaded red pickup truck.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0003__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0003__src-ml_a.jpg,true,1.0,613598960
4,ml_a,SDXL,1007205537,flickr-27,A man stands on one foot while holding on to a waste basket.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0004__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0004__src-ml_a.jpg,true,1.0,613598961
5,ml_a,SDXL,000000374628,coco-000000374628,A kitchen with wood floors and lots of furniture.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0005__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0005__src-ml_a.jpg,true,1.0,613598962
6,ml_a,SDXL,1000344755,flickr-3,Someone in a blue shirt and hat is standing on stair and leaning against a window.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0006__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0006__src-ml_a.jpg,true,1.0,613598963
7,ml_a,SDXL,000000086408,coco-000000086408,"A kitchen with a stove, microwave and refrigerator.",runs/prototype_20260326_192053_p8766/covers/ml_a/g0007__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0007__src-ml_a.jpg,true,1.0,613598964
8,ml_a,SDXL,000000060760,coco-000000060760,A bathroom with a walk in shower currently under repair.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0008__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0008__src-ml_a.jpg,true,1.0,613598965
9,ml_a,SDXL,000000540186,coco-000000540186,A view of a very large bathroom with mirrored walls.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0009__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0009__src-ml_a.jpg,true,1.0,613598966
10,ml_a,SDXL,000000412151,coco-000000412151,A bicycle store shows two males leaning toward a bike.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0010__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0010__src-ml_a.jpg,true,1.0,613598967
11,ml_a,SDXL,000000309022,coco-000000309022,A commercial stainless kitchen with a pot of food cooking.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0011__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0011__src-ml_a.jpg,true,1.0,613598968
12,ml_a,SDXL,000000144941,coco-000000144941,This is an image of the inside of a nice bathroom.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0012__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0012__src-ml_a.jpg,true,1.0,613598969
13,ml_a,SDXL,000000184613,coco-000000184613,A child holding a flowered umbrella and petting a yak.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0013__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0013__src-ml_a.jpg,true,1.0,613598970
14,ml_a,SDXL,1001573224,flickr-10,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0014__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0014__src-ml_a.jpg,true,1.0,613598971
15,ml_a,SDXL,1007320043,flickr-28,A little girl in pink climbs a rope bridge at the park.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0015__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0015__src-ml_a.jpg,true,1.0,613598972
16,ml_a,SDXL,1005216151,flickr-21,A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0016__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0016__src-ml_a.jpg,true,1.0,613598973
17,ml_a,SDXL,100207720,flickr-15,A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0017__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0017__src-ml_a.jpg,true,1.0,613598974
18,ml_a,SDXL,000000204805,coco-000000204805,A large boat filled with mean on wheels.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0018__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0018__src-ml_a.jpg,true,1.0,613598975
19,ml_a,SDXL,000000224736,coco-000000224736,A professional kitchen filled with sinks and appliances.,runs/prototype_20260326_192053_p8766/covers/ml_a/g0019__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0019__src-ml_a.jpg,true,1.0,613598976
20,ml_a,SDXL,1003420127,flickr-18,"A group of adults, inside a home, sitting on chairs arranged in a circle, playing a type of musical instruments.",runs/prototype_20260326_192053_p8766/covers/ml_a/g0020__src-ml_a.png,runs/prototype_20260326_192053_p8766/covers/ml_a/g0020__src-ml_a.jpg,true,1.0,613598977
