group_id,source,dataset,orig_id,caption_id,caption_text,spatial_path,frequency_path,qc_pass,qc_score,seed
1,ml_a,SDXL,1003420127,flickr-18,"A group of adults, inside a home, sitting on chairs arranged in a circle, playing a type of musical instruments.",runs/prototype_20260326_210106_p8765/covers/ml_a/g0001__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0001__src-ml_a.jpg,true,1.0,1245808341
1,ml_b,FLUX.1-schnell,1003420127,flickr-18,"A group of adults, inside a home, sitting on chairs arranged in a circle, playing a type of musical instruments.",runs/prototype_20260326_210106_p8765/covers/ml_b/g0001__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0001__src-ml_b.jpg,true,1.0,1245908341
2,ml_a,SDXL,000000542145,coco-000000542145,A toilet and a sink in small bathroom.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0002__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0002__src-ml_a.jpg,true,1.0,1245808342
2,ml_b,FLUX.1-schnell,000000542145,coco-000000542145,A toilet and a sink in small bathroom.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0002__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0002__src-ml_b.jpg,true,1.0,1245908342
3,ml_a,SDXL,000000483108,coco-000000483108,A man on a bicycle riding next to a train,runs/prototype_20260326_210106_p8765/covers/ml_a/g0003__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0003__src-ml_a.jpg,true,1.0,1245808343
3,ml_b,FLUX.1-schnell,000000483108,coco-000000483108,A man on a bicycle riding next to a train,runs/prototype_20260326_210106_p8765/covers/ml_b/g0003__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0003__src-ml_b.jpg,true,1.0,1245908343
4,ml_a,SDXL,000000360772,coco-000000360772,A toilet sitting in a bathroom next to a sink.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0004__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0004__src-ml_a.jpg,true,1.0,1245808344
4,ml_b,FLUX.1-schnell,000000360772,coco-000000360772,A toilet sitting in a bathroom next to a sink.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0004__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0004__src-ml_b.jpg,true,1.0,1245908344
5,ml_a,SDXL,100716317,flickr-26,A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0005__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0005__src-ml_a.jpg,true,1.0,1245808345
5,ml_b,FLUX.1-schnell,100716317,flickr-26,A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0005__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0005__src-ml_b.jpg,true,1.0,1245908345
